"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SYT10",3.37883459861973E-202,2.6223383460453,0.714,0.004,8.24908678907021E-198,"Astrocyte"
"FLRT1",1.08805297585155E-186,1.97254767105678,0.429,0.001,2.65637253524396E-182,"Astrocyte"
"PLP1",2.70583028748842E-123,4.21456626263708,1,0.012,6.60601406387422E-119,"Astrocyte"
"NRXN1",6.51260994097736E-96,3.9012861362396,0.857,0.012,1.58998859099021E-91,"Astrocyte"
"GRIK3",6.83476884058425E-91,2.17777850979902,0.286,0.001,1.66864046474024E-86,"Astrocyte"
"PHYHIPL",3.11577666349135E-84,1.9027508020132,0.429,0.003,7.60685714624779E-80,"Astrocyte"
"CDH19",2.19058555369563E-75,3.40962787868949,0.714,0.01,5.34809557079252E-71,"Astrocyte"
"PTPRZ1",8.10333716857565E-72,2.01985655015521,0.429,0.004,1.97834873633606E-67,"Astrocyte"
"CMTM5",2.05364351261117E-53,2.48897063654262,0.429,0.005,5.01376527168891E-49,"Astrocyte"
"CHST9",4.37552348478834E-50,1.48164099433057,0.286,0.002,1.06824030357622E-45,"Astrocyte"
"S100B",4.92716476621826E-43,4.89181021553695,1,0.037,1.20291800602453E-38,"Astrocyte"
"LGI4",7.12161141081596E-41,4.05451544682255,0.857,0.029,1.73867020983661E-36,"Astrocyte"
"SOX2",1.49472344918566E-40,2.13627417664931,0.429,0.007,3.64921782884187E-36,"Astrocyte"
"SOX10",1.84624905958221E-35,1.42202847316699,0.286,0.004,4.50743245406402E-31,"Astrocyte"
"PRIMA1",2.87254293197847E-33,2.21911935148327,0.429,0.009,7.01302631413223E-29,"Astrocyte"
"NCAM1",4.35464077056854E-31,2.87451238318398,0.571,0.017,1.0631419977266E-26,"Astrocyte"
"CORO2B",1.56120327283902E-29,1.49188028889729,0.286,0.004,3.81152167030918E-25,"Astrocyte"
"GPM6B",8.73415951132375E-28,3.9832564979241,1,0.06,2.13235770309458E-23,"Astrocyte"
"SORCS1",7.8452626853762E-26,1.41788906826264,0.286,0.005,1.91534243200775E-21,"Astrocyte"
"ART3",3.5720002772721E-22,1.6488710590446,0.286,0.006,8.72068147693211E-18,"Astrocyte"
"CADM2",1.1388263618436E-21,1.54477908313532,0.286,0.006,2.78033067980496E-17,"Astrocyte"
"TMEM71",5.97220914415047E-20,2.39663391382334,0.571,0.027,1.4580551404529E-15,"Astrocyte"
"SRCIN1",8.39108845368431E-19,1.3728438731855,0.286,0.007,2.04860033508249E-14,"Astrocyte"
"NGFR",1.69141291490497E-16,1.46852889401944,0.286,0.008,4.129415490449E-12,"Astrocyte"
"CRYAB",1.94410948319019E-16,3.93448465811935,1,0.111,4.74634889226052E-12,"Astrocyte"
"NRXN3",9.90716850315129E-16,1.60553372453185,0.286,0.008,2.41873611835936E-11,"Astrocyte"
